15-Dec-2014 22:36:54	o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.img	c5o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.nii	c1o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.nii	dc1o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.nii	wdc1o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.nii
15-Dec-2014 22:48:10	sHIVE09-0301-00003-000001-01.img	c5sHIVE09-0301-00003-000001-01.nii	c1sHIVE09-0301-00003-000001-01.nii	dc1sHIVE09-0301-00003-000001-01.nii	wdc1sHIVE09-0301-00003-000001-01.nii
15-Dec-2014 22:59:42	sHIVE10-0301-00003-000001-01.img	c5sHIVE10-0301-00003-000001-01.nii	c1sHIVE10-0301-00003-000001-01.nii	dc1sHIVE10-0301-00003-000001-01.nii	wdc1sHIVE10-0301-00003-000001-01.nii
10-Dec-2016 08:01:41	o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.img	fail	fail	fail	fail	fail
10-Dec-2016 08:01:41	sHIVE09-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:01:41	sHIVE10-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:11:44	o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.img	fail	fail	fail	fail	fail
10-Dec-2016 08:11:45	sHIVE09-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:11:45	sHIVE10-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:12:38	o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.img	fail	fail	fail	fail	fail
10-Dec-2016 08:12:38	sHIVE09-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:12:38	sHIVE10-0301-00003-000001-01.img	fail	fail	fail	fail	fail
10-Dec-2016 08:25:31	o20100630_173454IM-0001-0001AnatomySENSEHive02s301a1003.img	fail	fail	fail	fail	fail
